Iteracja,Najlepsza wartosc,Srednia wartosc,Najgorsza wartosc
1,-74.000000,-17.124478,43.621850
2,-74.000000,-21.945933,20.850397
3,-74.000000,-25.716343,44.891356
4,-74.000000,-27.723699,30.269704
5,-74.000000,-27.561915,20.902226
6,-74.000000,-32.751279,29.077198
7,-74.000000,-30.422305,47.240163
8,-74.000000,-32.839324,30.040945
9,-74.000000,-25.751883,43.479432
10,-74.000000,-25.248598,49.580666
11,-74.000000,-32.138085,29.846110
12,-74.000000,-27.793216,52.000000
13,-74.000000,-31.595990,35.146376
14,-74.000000,-34.298147,43.906136
15,-74.000000,-33.442548,44.357495
16,-74.000000,-31.903853,56.000000
17,-74.000000,-32.302759,52.000000
18,-74.000000,-32.137936,44.321213
19,-74.000000,-27.759966,49.261433
20,-74.000000,-29.630926,33.423371
21,-74.000000,-29.239837,40.183384
22,-74.000000,-24.809697,38.586990
23,-74.000000,-23.470926,29.639042
24,-74.000000,-27.865646,32.634662
25,-74.000000,-27.860382,47.144702
26,-74.000000,-28.987089,31.642045
27,-74.000000,-30.560345,46.860924
28,-74.000000,-29.506262,49.667031
29,-74.000000,-25.044414,40.000000
30,-74.000000,-25.656964,33.824461
31,-74.000000,-25.690018,45.395442
32,-74.000000,-29.506319,44.174138
33,-74.000000,-27.051060,34.815734
34,-74.000000,-27.541815,52.000000
35,-74.000000,-28.070679,56.000000
36,-74.000000,-23.192041,26.989034
37,-74.000000,-28.213435,46.464357
38,-74.000000,-30.440215,36.944191
39,-74.000000,-30.420768,47.892030
40,-74.000000,-28.632092,46.743332
41,-74.000000,-29.180841,30.143125
42,-74.000000,-24.977151,48.000000
43,-74.000000,-26.919380,29.277208
44,-74.000000,-28.001685,27.801680
45,-74.000000,-24.036871,52.000000
46,-74.000000,-27.554069,28.093155
47,-74.000000,-25.570588,52.000000
48,-74.000000,-27.453534,56.000000
49,-74.000000,-31.792598,35.177531
50,-74.000000,-31.793605,15.650750
51,-74.000000,-28.885974,40.795495
52,-74.000000,-31.952322,46.849214
53,-74.000000,-32.267641,56.000000
54,-74.000000,-30.141579,35.203354
55,-74.000000,-26.651992,46.729078
56,-74.000000,-27.377936,27.249877
57,-74.000000,-25.549219,47.505604
58,-74.000000,-23.403234,37.367764
59,-74.000000,-29.464085,36.629308
60,-74.000000,-31.392008,20.961771
61,-74.000000,-32.859453,37.951836
62,-74.000000,-32.772871,24.000000
63,-74.000000,-27.953173,47.732425
64,-74.000000,-29.339395,52.850708
65,-74.000000,-31.895261,48.712627
66,-74.000000,-32.282376,56.000000
67,-74.000000,-32.363220,22.569557
68,-74.000000,-33.366405,18.123457
69,-74.000000,-30.355599,40.000000
70,-74.000000,-32.564289,22.863464
71,-74.000000,-35.633057,5.980904
72,-74.000000,-26.151685,15.469130
73,-74.000000,-25.281822,28.513640
74,-74.000000,-28.841265,27.906008
75,-74.000000,-33.373605,14.407754
76,-74.000000,-34.862792,29.475082
77,-74.000000,-35.947085,20.226785
78,-74.000000,-31.812661,31.260082
79,-74.000000,-34.187725,26.485033
80,-74.000000,-32.032442,27.971230
81,-74.000000,-26.522534,48.151946
82,-74.000000,-28.674315,40.053399
83,-74.000000,-29.420308,50.117873
84,-74.000000,-33.552761,20.000000
85,-74.000000,-35.510392,11.130473
86,-74.000000,-33.122453,20.393994
87,-74.000000,-27.301977,30.491053
88,-74.000000,-29.080054,23.300992
89,-74.000000,-32.199247,30.921250
90,-74.000000,-31.546881,36.863463
91,-74.000000,-36.194640,19.385434
92,-74.000000,-35.773265,38.211895
93,-74.000000,-29.411952,28.690140
94,-74.000000,-28.771815,50.047077
95,-74.000000,-27.706103,56.000000
96,-74.000000,-32.328019,51.872144
97,-74.000000,-28.605924,52.000000
98,-74.000000,-30.103005,52.000000
99,-74.000000,-29.343120,24.000000
100,-74.000000,-30.810277,21.221170
101,-74.000000,-29.359880,35.151774
102,-74.000000,-32.112830,22.324946
103,-74.000000,-31.503930,6.691269
104,-74.000000,-38.089446,14.303366
105,-74.000000,-29.446755,24.000000
106,-74.000000,-23.531885,40.000000
107,-74.000000,-27.602354,14.765715
108,-74.000000,-26.277967,32.427067
109,-74.000000,-33.187082,14.443412
110,-74.000000,-30.122569,44.907451
111,-74.000000,-32.028444,35.158256
112,-74.000000,-32.857618,22.895577
113,-74.000000,-35.134951,-1.487723
114,-74.000000,-33.134781,46.235402
115,-74.000000,-22.619694,52.000000
116,-74.000000,-28.009089,39.414164
117,-74.000000,-32.507268,32.742098
118,-74.000000,-31.989496,52.000000
119,-74.000000,-33.304831,42.436656
120,-74.000000,-33.079400,20.273414
121,-74.000000,-29.169730,30.867009
122,-74.000000,-28.619969,32.000000
123,-74.000000,-24.974942,50.800211
124,-74.000000,-21.627526,36.332884
125,-74.000000,-22.248231,40.661619
126,-74.000000,-25.008041,46.741292
127,-74.000000,-24.075249,48.607800
128,-74.000000,-30.042131,24.599451
129,-74.000000,-28.491681,56.000000
130,-74.000000,-31.223282,55.077799
131,-74.000000,-31.423150,31.220278
132,-74.000000,-25.412950,35.418813
133,-74.000000,-23.197833,33.781462
134,-74.000000,-28.094256,31.072200
135,-74.000000,-29.424619,35.733100
136,-74.000000,-30.339246,25.238524
137,-74.000000,-31.579782,14.527491
138,-74.000000,-34.266622,24.761339
139,-74.000000,-29.100959,39.316395
140,-74.000000,-32.403362,41.617653
141,-74.000000,-33.646369,7.745443
142,-74.000000,-30.976022,31.292289
143,-74.000000,-23.549041,43.699234
144,-74.000000,-30.207794,23.478784
145,-74.000000,-31.336474,16.631408
146,-74.000000,-32.216179,14.309895
147,-74.000000,-32.271173,13.862092
148,-74.000000,-29.787170,20.342188
149,-74.000000,-29.536086,44.033846
150,-74.000000,-31.483746,38.851585
